episode,reward,tests_selected,bug_exists,bug_detected,epsilon,accuracy,loss
1,5.824,4,False,False,0.995,1.0,0.0
2,14.118,3,True,True,0.99,1.0,0.0
3,13.529,5,True,True,0.9851,1.0,0.0
4,6.706,1,False,False,0.9801,1.0,0.0
5,-5.588,2,True,False,0.9752,0.8,0.0
6,6.412,2,False,False,0.9704,0.8333,0.0
7,-5.588,2,True,False,0.9655,0.7143,0.0
8,5.235,6,False,False,0.9607,0.75,0.0
9,13.529,5,True,True,0.9559,0.7778,0.0
10,6.706,1,False,False,0.9511,0.8,0.0
11,5.824,4,False,False,0.9464,0.8182,0.0
12,-5.294,1,True,False,0.9416,0.75,0.0
13,6.118,3,False,False,0.9369,0.7692,0.0
14,-5.882,3,True,False,0.9322,0.7143,0.0
15,5.529,5,False,False,0.9276,0.7333,0.0
16,5.824,4,False,False,0.9229,0.75,0.0
17,6.706,1,False,False,0.9183,0.7647,0.0
18,5.824,4,False,False,0.9137,0.7778,0.0
19,6.118,3,False,False,0.9092,0.7895,0.0
20,14.412,2,True,True,0.9046,0.8,0.0
21,5.235,6,False,False,0.9001,0.8095,0.0
22,6.118,3,False,False,0.8956,0.8182,0.0
23,5.824,4,False,False,0.8911,0.8261,0.0
24,-6.176,4,True,False,0.8867,0.7917,0.0
25,6.412,2,False,False,0.8822,0.8,0.0
26,6.118,3,False,False,0.8778,0.8077,0.0
27,5.235,6,False,False,0.8734,0.8148,0.0
28,4.941,7,False,False,0.8691,0.8214,0.0
29,4.941,7,False,False,0.8647,0.8276,0.0
30,5.529,5,False,False,0.8604,0.8333,0.0
31,13.529,5,True,True,0.8561,0.8387,0.0
32,4.941,7,False,False,0.8518,0.8438,6.674771
33,6.412,2,False,False,0.8475,0.8485,6.584015
34,13.529,5,True,True,0.8433,0.8529,6.33366
35,14.118,3,True,True,0.8391,0.8571,6.539909
36,-5.882,3,True,False,0.8349,0.8333,6.479334
37,5.529,5,False,False,0.8307,0.8378,5.744984
38,-6.765,6,True,False,0.8266,0.8158,5.910043
39,6.706,1,False,False,0.8224,0.8205,5.467438
40,-5.294,1,True,False,0.8183,0.8,5.284009
41,6.118,3,False,False,0.8142,0.8049,5.37326
42,13.824,4,True,True,0.8102,0.8095,5.65266
43,5.529,5,False,False,0.8061,0.814,4.219946
44,6.706,1,False,False,0.8021,0.8182,4.729557
45,5.235,6,False,False,0.7981,0.8222,4.997811
46,5.824,4,False,False,0.7941,0.8261,4.442415
47,5.824,4,False,False,0.7901,0.8298,3.97524
48,4.941,7,False,False,0.7862,0.8333,4.435965
49,6.412,2,False,False,0.7822,0.8367,4.248046
50,6.706,1,False,False,0.7783,0.84,3.821939
51,-5.882,3,True,False,0.7744,0.8235,4.404841
52,4.353,9,False,False,0.7705,0.8269,3.932004
53,5.529,5,False,False,0.7667,0.8302,4.529068
54,14.412,2,True,True,0.7629,0.8333,4.223026
55,6.118,3,False,False,0.759,0.8364,3.914232
56,4.941,7,False,False,0.7553,0.8393,3.862257
57,14.412,2,True,True,0.7515,0.8421,4.509912
58,-5.882,3,True,False,0.7477,0.8276,4.023705
59,6.706,1,False,False,0.744,0.8305,4.340333
60,6.706,1,False,False,0.7403,0.8333,4.375524
61,6.412,2,False,False,0.7366,0.8361,4.121698
62,4.941,7,False,False,0.7329,0.8387,4.608418
63,5.529,5,False,False,0.7292,0.8413,3.938893
64,6.706,1,False,False,0.7256,0.8438,3.53694
65,-6.765,6,True,False,0.7219,0.8308,3.992804
66,5.824,4,False,False,0.7183,0.8333,3.920448
67,5.824,4,False,False,0.7147,0.8358,3.67295
68,6.118,3,False,False,0.7112,0.8382,3.738606
69,4.941,7,False,False,0.7076,0.8406,3.519045
70,5.824,4,False,False,0.7041,0.8429,3.812067
71,6.412,2,False,False,0.7005,0.8451,3.602552
72,14.706,1,True,True,0.697,0.8472,4.361335
73,6.118,3,False,False,0.6936,0.8493,3.608544
74,6.118,3,False,False,0.6901,0.8514,3.35611
75,4.941,7,False,False,0.6866,0.8533,3.459924
76,5.824,4,False,False,0.6832,0.8553,3.579371
77,5.824,4,False,False,0.6798,0.8571,3.843287
78,5.824,4,False,False,0.6764,0.859,2.604605
79,6.412,2,False,False,0.673,0.8608,3.206504
80,4.647,8,False,False,0.6696,0.8625,3.065956
81,5.529,5,False,False,0.6663,0.8642,3.189936
82,5.529,5,False,False,0.663,0.8659,3.524436
83,12.941,7,True,True,0.6597,0.8675,3.158726
84,5.529,5,False,False,0.6564,0.869,3.451231
85,6.706,1,False,False,0.6531,0.8706,3.099559
86,13.824,4,True,True,0.6498,0.8721,4.05109
87,6.706,1,False,False,0.6466,0.8736,2.511938
88,5.529,5,False,False,0.6433,0.875,2.966984
89,6.412,2,False,False,0.6401,0.8764,2.939104
90,5.235,6,False,False,0.6369,0.8778,3.021535
91,6.412,2,False,False,0.6337,0.8791,3.795816
92,6.412,2,False,False,0.6306,0.8804,3.256796
93,6.118,3,False,False,0.6274,0.8817,2.91476
94,-5.588,2,True,False,0.6243,0.8723,3.967792
95,6.706,1,False,False,0.6211,0.8737,2.356488
96,13.824,4,True,True,0.618,0.875,3.33922
97,6.412,2,False,False,0.6149,0.8763,2.546736
98,4.647,8,False,False,0.6119,0.8776,2.394146
99,4.647,8,False,False,0.6088,0.8788,3.718939
100,6.412,2,False,False,0.6058,0.88,3.611279
101,5.235,6,False,False,0.6027,0.8812,4.012908
102,6.412,2,False,False,0.5997,0.8824,3.788464
103,5.824,4,False,False,0.5967,0.8835,3.266039
104,4.647,8,False,False,0.5937,0.8846,3.309804
105,5.824,4,False,False,0.5908,0.8857,2.619106
106,6.706,1,False,False,0.5878,0.8868,2.68463
107,12.647,8,True,True,0.5849,0.8879,2.458173
108,5.824,4,False,False,0.582,0.8889,2.61865
109,5.824,4,False,False,0.579,0.8899,2.606359
110,6.118,3,False,False,0.5762,0.8909,3.054348
111,-6.176,4,True,False,0.5733,0.8829,3.005718
112,-5.588,2,True,False,0.5704,0.875,2.694336
113,6.706,1,False,False,0.5676,0.8761,2.503767
114,-5.882,3,True,False,0.5647,0.8684,2.762314
115,5.529,5,False,False,0.5619,0.8696,3.200536
116,-5.294,1,True,False,0.5591,0.8621,3.130015
117,-5.294,1,True,False,0.5563,0.8547,2.848317
118,-5.588,2,True,False,0.5535,0.8475,2.239906
119,4.941,7,False,False,0.5507,0.8487,2.112783
120,5.824,4,False,False,0.548,0.85,2.826527
121,6.118,3,False,False,0.5452,0.8512,2.900771
122,6.118,3,False,False,0.5425,0.8525,3.768553
123,6.118,3,False,False,0.5398,0.8537,2.684939
124,6.118,3,False,False,0.5371,0.8548,3.617787
125,5.529,5,False,False,0.5344,0.856,2.830539
126,5.235,6,False,False,0.5318,0.8571,2.623862
127,14.706,1,True,True,0.5291,0.8583,3.735837
128,6.706,1,False,False,0.5264,0.8594,3.094484
129,14.118,3,True,True,0.5238,0.8605,3.589897
130,4.941,7,False,False,0.5212,0.8615,3.363127
131,13.824,4,True,True,0.5186,0.8626,3.015581
132,6.412,2,False,False,0.516,0.8636,2.973063
133,6.412,2,False,False,0.5134,0.8647,3.734876
134,6.118,3,False,False,0.5108,0.8657,2.279822
135,-6.471,5,True,False,0.5083,0.8593,4.242074
136,4.941,7,False,False,0.5058,0.8603,2.758605
137,-5.588,2,True,False,0.5032,0.854,3.177489
138,5.529,5,False,False,0.5007,0.8551,2.982629
139,5.235,6,False,False,0.4982,0.8561,2.760597
140,6.706,1,False,False,0.4957,0.8571,2.747878
141,-7.059,7,True,False,0.4932,0.8511,3.293228
142,5.824,4,False,False,0.4908,0.8521,3.939963
143,6.412,2,False,False,0.4883,0.8531,3.418602
144,6.706,1,False,False,0.4859,0.8542,2.474379
145,6.118,3,False,False,0.4834,0.8552,2.629837
146,5.824,4,False,False,0.481,0.8562,3.113558
147,4.941,7,False,False,0.4786,0.8571,3.033887
148,14.412,2,True,True,0.4762,0.8581,2.571155
149,-6.176,4,True,False,0.4738,0.8523,2.432536
150,-5.294,1,True,False,0.4715,0.8467,2.974118
151,-6.765,6,True,False,0.4691,0.8411,4.197161
152,-6.765,6,True,False,0.4668,0.8355,3.699966
153,-5.588,2,True,False,0.4644,0.8301,2.415168
154,5.529,5,False,False,0.4621,0.8312,3.668936
155,13.824,4,True,True,0.4598,0.8323,3.162856
156,-5.588,2,True,False,0.4575,0.8269,3.300693
157,-6.176,4,True,False,0.4552,0.8217,4.142903
158,-6.176,4,True,False,0.4529,0.8165,3.172336
159,-6.176,4,True,False,0.4507,0.8113,3.482066
160,-6.471,5,True,False,0.4484,0.8063,4.510571
161,6.706,1,False,False,0.4462,0.8075,3.626413
162,5.824,4,False,False,0.444,0.8086,3.417347
163,14.118,3,True,True,0.4417,0.8098,3.336495
164,5.529,5,False,False,0.4395,0.811,3.384391
165,-5.294,1,True,False,0.4373,0.8061,4.302521
166,13.824,4,True,True,0.4351,0.8072,3.534489
167,5.235,6,False,False,0.433,0.8084,3.771448
168,6.412,2,False,False,0.4308,0.8095,2.995511
169,6.412,2,False,False,0.4286,0.8107,3.787905
170,5.235,6,False,False,0.4265,0.8118,4.01896
171,-6.765,6,True,False,0.4244,0.807,3.677597
172,-6.471,5,True,False,0.4223,0.8023,3.071117
173,5.529,5,False,False,0.4201,0.8035,4.434088
174,12.941,7,True,True,0.418,0.8046,3.235627
175,14.412,2,True,True,0.4159,0.8057,4.484005
176,12.941,7,True,True,0.4139,0.8068,3.02171
177,14.118,3,True,True,0.4118,0.8079,4.312686
178,6.118,3,False,False,0.4097,0.809,3.738258
179,5.529,5,False,False,0.4077,0.8101,3.090409
180,5.235,6,False,False,0.4057,0.8111,4.099496
181,6.412,2,False,False,0.4036,0.8122,3.929778
182,13.235,6,True,True,0.4016,0.8132,3.620324
183,6.118,3,False,False,0.3996,0.8142,3.466497
184,5.529,5,False,False,0.3976,0.8152,3.294531
185,6.412,2,False,False,0.3956,0.8162,3.207651
186,4.941,7,False,False,0.3936,0.8172,3.067379
187,4.941,7,False,False,0.3917,0.8182,2.604371
188,5.824,4,False,False,0.3897,0.8191,2.310136
189,6.412,2,False,False,0.3878,0.8201,2.730416
190,-5.882,3,True,False,0.3858,0.8158,3.247416
191,5.235,6,False,False,0.3839,0.8168,3.628076
192,5.235,6,False,False,0.382,0.8177,3.959357
193,-6.471,5,True,False,0.3801,0.8135,2.877942
194,5.235,6,False,False,0.3782,0.8144,3.913248
195,6.118,3,False,False,0.3763,0.8154,2.557312
196,6.118,3,False,False,0.3744,0.8163,3.747319
197,-7.353,8,True,False,0.3725,0.8122,3.914741
198,5.235,6,False,False,0.3707,0.8131,3.320901
199,5.529,5,False,False,0.3688,0.8141,3.283458
200,5.529,5,False,False,0.367,0.815,3.320227
201,4.941,7,False,False,0.3651,0.8159,2.881138
202,-6.471,5,True,False,0.3633,0.8119,4.469752
203,4.941,7,False,False,0.3615,0.8128,4.325478
204,4.941,7,False,False,0.3597,0.8137,2.649525
205,5.529,5,False,False,0.3579,0.8146,3.429296
206,5.529,5,False,False,0.3561,0.8155,2.844809
207,-5.882,3,True,False,0.3543,0.8116,4.174861
208,6.118,3,False,False,0.3525,0.8125,3.100041
209,5.529,5,False,False,0.3508,0.8134,2.256185
210,5.235,6,False,False,0.349,0.8143,3.222914
211,5.824,4,False,False,0.3473,0.8152,4.423665
212,5.824,4,False,False,0.3455,0.816,3.464135
213,4.941,7,False,False,0.3438,0.8169,3.943281
214,4.647,8,False,False,0.3421,0.8178,1.97224
215,6.706,1,False,False,0.3404,0.8186,3.91104
216,14.412,2,True,True,0.3387,0.8194,3.248426
217,12.941,7,True,True,0.337,0.8203,3.34552
218,5.529,5,False,False,0.3353,0.8211,3.060743
219,13.824,4,True,True,0.3336,0.8219,3.890549
220,6.706,1,False,False,0.332,0.8227,3.218261
221,5.824,4,False,False,0.3303,0.8235,3.913541
222,13.235,6,True,True,0.3286,0.8243,3.178578
223,5.235,6,False,False,0.327,0.8251,3.784723
224,5.235,6,False,False,0.3254,0.8259,3.197041
225,5.529,5,False,False,0.3237,0.8267,3.006322
226,5.235,6,False,False,0.3221,0.8274,2.880085
227,4.647,8,False,False,0.3205,0.8282,3.601878
228,4.941,7,False,False,0.3189,0.8289,3.21325
229,6.706,1,False,False,0.3173,0.8297,2.841589
230,5.529,5,False,False,0.3157,0.8304,4.198066
231,-5.882,3,True,False,0.3141,0.8268,2.952296
232,14.412,2,True,True,0.3126,0.8276,3.304191
233,5.824,4,False,False,0.311,0.8283,3.589256
234,-6.471,5,True,False,0.3095,0.8248,3.302961
235,-7.059,7,True,False,0.3079,0.8213,2.629152
236,-5.882,3,True,False,0.3064,0.8178,2.636987
237,4.941,7,False,False,0.3048,0.8186,2.842068
238,-5.882,3,True,False,0.3033,0.8151,3.960856
239,4.941,7,False,False,0.3018,0.8159,4.096292
240,5.235,6,False,False,0.3003,0.8167,3.195839
241,6.118,3,False,False,0.2988,0.8174,2.782885
242,6.118,3,False,False,0.2973,0.8182,2.89362
243,14.412,2,True,True,0.2958,0.8189,3.348907
244,6.118,3,False,False,0.2943,0.8197,2.901798
245,13.529,5,True,True,0.2929,0.8204,2.859416
246,6.118,3,False,False,0.2914,0.8211,2.409017
247,5.529,5,False,False,0.2899,0.8219,3.506055
248,6.412,2,False,False,0.2885,0.8226,2.889815
249,-5.882,3,True,False,0.287,0.8193,2.787795
250,6.118,3,False,False,0.2856,0.82,3.527417
251,6.118,3,False,False,0.2842,0.8207,3.864697
252,6.706,1,False,False,0.2828,0.8214,3.600341
253,6.412,2,False,False,0.2813,0.8221,4.56941
254,-5.882,3,True,False,0.2799,0.8189,2.556369
255,-7.059,7,True,False,0.2785,0.8157,2.458689
256,4.941,7,False,False,0.2771,0.8164,2.994041
257,-5.588,2,True,False,0.2758,0.8132,4.07109
258,5.235,6,False,False,0.2744,0.814,2.469218
259,6.118,3,False,False,0.273,0.8147,4.237045
260,12.941,7,True,True,0.2716,0.8154,3.606753
261,6.412,2,False,False,0.2703,0.8161,2.718233
262,4.941,7,False,False,0.2689,0.8168,3.631983
263,6.412,2,False,False,0.2676,0.8175,4.298333
264,-6.471,5,True,False,0.2663,0.8144,3.337038
265,-5.882,3,True,False,0.2649,0.8113,2.1381
266,6.412,2,False,False,0.2636,0.812,2.672429
267,13.235,6,True,True,0.2623,0.8127,3.127589
268,5.824,4,False,False,0.261,0.8134,2.952714
269,6.412,2,False,False,0.2597,0.8141,3.800858
270,6.412,2,False,False,0.2584,0.8148,3.747356
271,5.529,5,False,False,0.2571,0.8155,4.113841
272,5.235,6,False,False,0.2558,0.8162,2.715032
273,6.412,2,False,False,0.2545,0.8168,3.54393
274,-5.882,3,True,False,0.2532,0.8139,3.28163
275,5.529,5,False,False,0.252,0.8145,2.534935
276,14.118,3,True,True,0.2507,0.8152,2.667768
277,6.118,3,False,False,0.2495,0.8159,2.671284
278,-5.882,3,True,False,0.2482,0.8129,3.532535
279,6.706,1,False,False,0.247,0.8136,4.172809
280,5.824,4,False,False,0.2457,0.8143,3.438466
281,5.529,5,False,False,0.2445,0.8149,3.512862
282,4.647,8,False,False,0.2433,0.8156,5.143819
283,4.941,7,False,False,0.2421,0.8163,3.499621
284,5.235,6,False,False,0.2409,0.8169,3.424318
285,12.941,7,True,True,0.2397,0.8175,2.972596
286,5.824,4,False,False,0.2385,0.8182,3.216544
287,-6.765,6,True,False,0.2373,0.8153,4.283751
288,-7.647,9,True,False,0.2361,0.8125,3.251859
289,5.529,5,False,False,0.2349,0.8131,3.099866
290,13.529,5,True,True,0.2337,0.8138,3.56081
291,-6.471,5,True,False,0.2326,0.811,4.531279
292,5.529,5,False,False,0.2314,0.8116,4.291725
293,12.647,8,True,True,0.2302,0.8123,3.038077
294,13.529,5,True,True,0.2291,0.8129,4.669621
295,-5.588,2,True,False,0.2279,0.8102,3.745609
296,5.824,4,False,False,0.2268,0.8108,2.725711
297,6.706,1,False,False,0.2257,0.8114,3.624755
298,5.824,4,False,False,0.2245,0.8121,3.643391
299,5.235,6,False,False,0.2234,0.8127,3.545224
300,13.529,5,True,True,0.2223,0.8133,4.043361
301,13.529,5,True,True,0.2212,0.814,2.947485
302,-6.176,4,True,False,0.2201,0.8113,3.122803
303,5.824,4,False,False,0.219,0.8119,4.252189
304,-7.059,7,True,False,0.2179,0.8092,3.842469
305,6.412,2,False,False,0.2168,0.8098,2.95199
306,5.824,4,False,False,0.2157,0.8105,3.146867
307,4.941,7,False,False,0.2146,0.8111,4.269781
308,5.529,5,False,False,0.2136,0.8117,4.165946
309,6.412,2,False,False,0.2125,0.8123,3.536001
310,13.529,5,True,True,0.2114,0.8129,3.005978
311,13.824,4,True,True,0.2104,0.8135,3.335689
312,6.412,2,False,False,0.2093,0.8141,3.465606
313,-7.059,7,True,False,0.2083,0.8115,3.292644
314,14.412,2,True,True,0.2072,0.8121,3.059178
315,6.412,2,False,False,0.2062,0.8127,3.063427
316,6.118,3,False,False,0.2052,0.8133,3.52696
317,-5.588,2,True,False,0.2041,0.8107,3.329346
318,-5.588,2,True,False,0.2031,0.8082,4.168631
319,13.824,4,True,True,0.2021,0.8088,3.86872
320,13.824,4,True,True,0.2011,0.8094,3.151563
321,6.706,1,False,False,0.2001,0.81,3.450251
322,6.118,3,False,False,0.1991,0.8106,3.714279
323,13.824,4,True,True,0.1981,0.8111,2.915582
324,13.824,4,True,True,0.1971,0.8117,3.356686
325,5.824,4,False,False,0.1961,0.8123,3.42744
326,12.941,7,True,True,0.1951,0.8129,2.333977
327,5.529,5,False,False,0.1942,0.8135,2.739548
328,6.412,2,False,False,0.1932,0.814,4.240677
