episode,reward,tests_selected,bug_exists,bug_detected,epsilon,accuracy,loss
1,13.529,5,True,True,0.995,1.0,0.0
2,4.941,7,False,False,0.99,1.0,0.0
3,4.941,7,False,False,0.9851,1.0,0.0
4,13.824,4,True,True,0.9801,1.0,0.0
5,-5.882,3,True,False,0.9752,0.8,0.0
6,5.824,4,False,False,0.9704,0.8333,0.0
7,5.824,4,False,False,0.9655,0.8571,0.0
8,13.529,5,True,True,0.9607,0.875,0.0
9,5.235,6,False,False,0.9559,0.8889,0.0
10,4.647,8,False,False,0.9511,0.9,0.0
11,5.529,5,False,False,0.9464,0.9091,0.0
12,4.941,7,False,False,0.9416,0.9167,0.0
13,5.529,5,False,False,0.9369,0.9231,0.0
14,5.529,5,False,False,0.9322,0.9286,0.0
15,4.647,8,False,False,0.9276,0.9333,0.0
16,13.529,5,True,True,0.9229,0.9375,0.0
17,-6.471,5,True,False,0.9183,0.8824,0.0
18,4.647,8,False,False,0.9137,0.8889,0.0
19,5.824,4,False,False,0.9092,0.8947,0.0
20,14.118,3,True,True,0.9046,0.9,0.0
21,5.235,6,False,False,0.9001,0.9048,0.0
22,4.941,7,False,False,0.8956,0.9091,0.0
23,5.235,6,False,False,0.8911,0.913,0.0
24,12.941,7,True,True,0.8867,0.9167,0.0
25,5.824,4,False,False,0.8822,0.92,0.0
26,12.941,7,True,True,0.8778,0.9231,0.0
27,12.941,7,True,True,0.8734,0.9259,0.0
28,4.941,7,False,False,0.8691,0.9286,0.0
29,12.353,9,True,True,0.8647,0.931,0.0
30,5.824,4,False,False,0.8604,0.9333,0.0
31,12.353,9,True,True,0.8561,0.9355,0.0
32,12.647,8,True,True,0.8518,0.9375,7.585995
33,5.529,5,False,False,0.8475,0.9394,6.753832
34,5.529,5,False,False,0.8433,0.9412,6.398984
35,5.235,6,False,False,0.8391,0.9429,5.904729
36,13.529,5,True,True,0.8349,0.9444,5.469798
37,4.059,10,False,False,0.8307,0.9459,4.717864
38,6.118,3,False,False,0.8266,0.9474,4.393405
39,5.824,4,False,False,0.8224,0.9487,3.778529
40,13.529,5,True,True,0.8183,0.95,4.110098
41,5.529,5,False,False,0.8142,0.9512,3.484557
42,5.235,6,False,False,0.8102,0.9524,3.629126
43,12.353,9,True,True,0.8061,0.9535,2.89263
44,4.941,7,False,False,0.8021,0.9545,2.749704
45,4.941,7,False,False,0.7981,0.9556,3.095567
46,5.235,6,False,False,0.7941,0.9565,3.67485
47,5.235,6,False,False,0.7901,0.9574,3.186178
48,13.235,6,True,True,0.7862,0.9583,2.666212
49,13.529,5,True,True,0.7822,0.9592,3.333018
50,12.941,7,True,True,0.7783,0.96,2.608392
51,5.824,4,False,False,0.7744,0.9608,3.008958
52,6.118,3,False,False,0.7705,0.9615,3.020021
53,4.647,8,False,False,0.7667,0.9623,2.635994
54,5.824,4,False,False,0.7629,0.963,2.921203
55,12.059,10,True,True,0.759,0.9636,2.897941
56,5.235,6,False,False,0.7553,0.9643,2.762119
57,4.647,8,False,False,0.7515,0.9649,2.9764
58,4.941,7,False,False,0.7477,0.9655,2.274345
59,4.941,7,False,False,0.744,0.9661,2.252183
60,6.412,2,False,False,0.7403,0.9667,3.268954
61,4.059,10,False,False,0.7366,0.9672,2.80804
62,12.059,10,True,True,0.7329,0.9677,2.899631
63,-5.882,3,True,False,0.7292,0.9524,2.760092
64,4.941,7,False,False,0.7256,0.9531,3.179699
65,4.647,8,False,False,0.7219,0.9538,3.314597
66,13.824,4,True,True,0.7183,0.9545,3.145951
67,13.824,4,True,True,0.7147,0.9552,3.096749
68,4.647,8,False,False,0.7112,0.9559,2.703697
69,5.529,5,False,False,0.7076,0.9565,3.661098
70,4.647,8,False,False,0.7041,0.9571,3.016593
71,12.353,9,True,True,0.7005,0.9577,2.396394
72,12.941,7,True,True,0.697,0.9583,3.225949
73,14.118,3,True,True,0.6936,0.9589,3.141089
74,4.941,7,False,False,0.6901,0.9595,3.083896
75,12.353,9,True,True,0.6866,0.96,3.538626
76,5.529,5,False,False,0.6832,0.9605,3.569911
77,5.235,6,False,False,0.6798,0.961,3.50797
78,5.529,5,False,False,0.6764,0.9615,3.148613
79,4.647,8,False,False,0.673,0.962,3.012012
80,14.118,3,True,True,0.6696,0.9625,3.237523
81,13.529,5,True,True,0.6663,0.963,2.106329
82,12.941,7,True,True,0.663,0.9634,3.234458
83,-5.588,2,True,False,0.6597,0.9518,2.644105
84,12.353,9,True,True,0.6564,0.9524,3.259942
85,6.118,3,False,False,0.6531,0.9529,2.25169
86,12.059,10,True,True,0.6498,0.9535,2.191133
87,13.235,6,True,True,0.6466,0.954,3.11691
88,5.235,6,False,False,0.6433,0.9545,2.752566
89,4.941,7,False,False,0.6401,0.9551,2.989548
90,4.059,10,False,False,0.6369,0.9556,2.55328
91,4.941,7,False,False,0.6337,0.956,3.27763
92,5.529,5,False,False,0.6306,0.9565,3.436657
93,12.353,9,True,True,0.6274,0.957,2.554452
94,5.529,5,False,False,0.6243,0.9574,2.427062
95,4.941,7,False,False,0.6211,0.9579,3.212466
96,12.059,10,True,True,0.618,0.9583,3.104458
97,12.941,7,True,True,0.6149,0.9588,2.468382
98,4.647,8,False,False,0.6119,0.9592,2.999991
99,5.529,5,False,False,0.6088,0.9596,2.587166
100,4.941,7,False,False,0.6058,0.96,1.734835
101,5.235,6,False,False,0.6027,0.9604,2.097543
102,12.647,8,True,True,0.5997,0.9608,2.620598
103,5.824,4,False,False,0.5967,0.9612,2.603969
104,4.647,8,False,False,0.5937,0.9615,2.952533
105,4.353,9,False,False,0.5908,0.9619,2.958448
106,6.118,3,False,False,0.5878,0.9623,3.323789
107,5.529,5,False,False,0.5849,0.9626,2.539246
108,5.529,5,False,False,0.582,0.963,2.751984
109,12.059,10,True,True,0.579,0.9633,2.810856
110,4.353,9,False,False,0.5762,0.9636,2.193212
111,4.647,8,False,False,0.5733,0.964,2.79132
112,4.647,8,False,False,0.5704,0.9643,2.306945
113,-7.059,7,True,False,0.5676,0.9558,3.230185
114,4.941,7,False,False,0.5647,0.9561,1.920363
115,13.235,6,True,True,0.5619,0.9565,1.642228
116,4.941,7,False,False,0.5591,0.9569,2.502652
117,13.235,6,True,True,0.5563,0.9573,1.714878
118,4.059,10,False,False,0.5535,0.9576,2.797905
119,5.824,4,False,False,0.5507,0.958,2.932784
120,4.647,8,False,False,0.548,0.9583,2.82813
121,12.353,9,True,True,0.5452,0.9587,2.728789
122,4.059,10,False,False,0.5425,0.959,2.719522
123,5.235,6,False,False,0.5398,0.9593,3.091628
124,5.529,5,False,False,0.5371,0.9597,2.518979
125,5.824,4,False,False,0.5344,0.96,3.42949
126,-6.765,6,True,False,0.5318,0.9524,1.992291
127,5.529,5,False,False,0.5291,0.9528,3.041694
128,5.235,6,False,False,0.5264,0.9531,2.805734
129,13.529,5,True,True,0.5238,0.9535,2.873197
130,5.235,6,False,False,0.5212,0.9538,2.732903
131,13.235,6,True,True,0.5186,0.9542,2.708721
132,4.647,8,False,False,0.516,0.9545,1.858459
133,5.235,6,False,False,0.5134,0.9549,2.995091
134,4.647,8,False,False,0.5108,0.9552,2.511619
135,13.824,4,True,True,0.5083,0.9556,2.754694
136,13.529,5,True,True,0.5058,0.9559,3.584306
137,13.529,5,True,True,0.5032,0.9562,2.229911
138,13.235,6,True,True,0.5007,0.9565,2.370866
139,-6.765,6,True,False,0.4982,0.9496,3.24588
140,13.529,5,True,True,0.4957,0.95,2.498956
141,5.529,5,False,False,0.4932,0.9504,2.934164
142,4.059,10,False,False,0.4908,0.9507,2.115056
143,12.059,10,True,True,0.4883,0.951,2.470417
144,12.941,7,True,True,0.4859,0.9514,2.507325
145,4.059,10,False,False,0.4834,0.9517,2.590073
146,5.235,6,False,False,0.481,0.9521,2.126045
147,13.235,6,True,True,0.4786,0.9524,2.24489
148,12.647,8,True,True,0.4762,0.9527,2.42478
149,5.235,6,False,False,0.4738,0.953,3.26877
150,5.529,5,False,False,0.4715,0.9533,2.807731
151,5.529,5,False,False,0.4691,0.9536,2.715506
152,4.941,7,False,False,0.4668,0.9539,2.598128
153,4.647,8,False,False,0.4644,0.9542,2.137038
154,5.235,6,False,False,0.4621,0.9545,2.339856
155,5.235,6,False,False,0.4598,0.9548,3.029256
156,-6.471,5,True,False,0.4575,0.9487,3.177171
157,13.235,6,True,True,0.4552,0.949,2.460569
158,5.824,4,False,False,0.4529,0.9494,2.361196
159,13.529,5,True,True,0.4507,0.9497,2.413368
160,4.647,8,False,False,0.4484,0.95,3.499062
161,13.824,4,True,True,0.4462,0.9503,2.206517
162,6.118,3,False,False,0.444,0.9506,3.113164
163,12.647,8,True,True,0.4417,0.9509,3.615561
164,13.824,4,True,True,0.4395,0.9512,2.694751
165,12.941,7,True,True,0.4373,0.9515,2.733519
166,6.412,2,False,False,0.4351,0.9518,2.900664
167,4.941,7,False,False,0.433,0.9521,2.98902
168,6.118,3,False,False,0.4308,0.9524,2.212425
169,5.235,6,False,False,0.4286,0.9527,2.631669
170,14.118,3,True,True,0.4265,0.9529,2.554306
171,6.118,3,False,False,0.4244,0.9532,2.110187
172,5.529,5,False,False,0.4223,0.9535,1.948551
173,4.941,7,False,False,0.4201,0.9538,2.50176
174,4.353,9,False,False,0.418,0.954,2.48061
175,5.529,5,False,False,0.4159,0.9543,2.566288
176,5.529,5,False,False,0.4139,0.9545,2.365775
177,5.529,5,False,False,0.4118,0.9548,2.364465
178,4.941,7,False,False,0.4097,0.9551,1.739404
