episode,reward,tests_selected,bug_exists,bug_detected,epsilon,accuracy,loss
1,5.824,4,False,False,0.995,1.0,0.0
2,-6.765,6,True,False,0.99,0.5,0.0
3,6.412,2,False,False,0.9851,0.6667,0.0
4,5.529,5,False,False,0.9801,0.75,0.0
5,5.824,4,False,False,0.9752,0.8,0.0
6,5.235,6,False,False,0.9704,0.8333,0.0
7,5.529,5,False,False,0.9655,0.8571,0.0
8,5.235,6,False,False,0.9607,0.875,0.0
9,5.824,4,False,False,0.9559,0.8889,0.0
10,5.235,6,False,False,0.9511,0.9,0.0
11,12.059,10,True,True,0.9464,0.9091,0.0
12,5.529,5,False,False,0.9416,0.9167,0.0
13,5.529,5,False,False,0.9369,0.9231,0.0
14,14.118,3,True,True,0.9322,0.9286,0.0
15,4.059,10,False,False,0.9276,0.9333,0.0
16,13.235,6,True,True,0.9229,0.9375,0.0
17,5.824,4,False,False,0.9183,0.9412,0.0
18,4.941,7,False,False,0.9137,0.9444,0.0
19,13.824,4,True,True,0.9092,0.9474,0.0
20,-5.588,2,True,False,0.9046,0.9,0.0
21,13.529,5,True,True,0.9001,0.9048,0.0
22,13.529,5,True,True,0.8956,0.9091,0.0
23,3.765,11,False,False,0.8911,0.913,0.0
24,13.235,6,True,True,0.8867,0.9167,0.0
25,4.941,7,False,False,0.8822,0.92,0.0
26,-5.882,3,True,False,0.8778,0.8846,0.0
27,12.647,8,True,True,0.8734,0.8889,0.0
28,4.941,7,False,False,0.8691,0.8929,0.0
29,5.235,6,False,False,0.8647,0.8966,0.0
30,14.118,3,True,True,0.8604,0.9,0.0
31,12.941,7,True,True,0.8561,0.9032,0.0
32,6.412,2,False,False,0.8518,0.9062,7.800306
33,13.824,4,True,True,0.8475,0.9091,7.678215
34,5.235,6,False,False,0.8433,0.9118,6.987244
35,5.529,5,False,False,0.8391,0.9143,6.947412
36,13.824,4,True,True,0.8349,0.9167,6.373617
37,6.118,3,False,False,0.8307,0.9189,5.919734
38,-6.471,5,True,False,0.8266,0.8947,5.950081
39,4.647,8,False,False,0.8224,0.8974,5.607524
40,4.941,7,False,False,0.8183,0.9,5.406572
41,14.118,3,True,True,0.8142,0.9024,4.64259
42,13.529,5,True,True,0.8102,0.9048,5.273865
43,12.647,8,True,True,0.8061,0.907,5.494596
44,5.529,5,False,False,0.8021,0.9091,4.190141
45,13.529,5,True,True,0.7981,0.9111,4.904949
46,14.118,3,True,True,0.7941,0.913,4.785418
47,12.941,7,True,True,0.7901,0.9149,4.781068
48,14.118,3,True,True,0.7862,0.9167,4.743426
49,5.824,4,False,False,0.7822,0.9184,5.098041
50,5.235,6,False,False,0.7783,0.92,5.202932
51,-7.059,7,True,False,0.7744,0.902,3.849746
52,13.824,4,True,True,0.7705,0.9038,4.117618
53,5.824,4,False,False,0.7667,0.9057,4.777885
54,4.059,10,False,False,0.7629,0.9074,5.19993
55,5.529,5,False,False,0.759,0.9091,5.345213
56,5.235,6,False,False,0.7553,0.9107,4.515577
