episode,reward,tests_selected,bug_exists,bug_detected,epsilon,accuracy,loss
1,14.412,2,True,True,0.995,1.0,0.0
2,6.118,3,False,False,0.99,1.0,0.0
3,-6.176,4,True,False,0.9851,0.6667,0.0
4,5.235,6,False,False,0.9801,0.75,0.0
5,-6.765,6,True,False,0.9752,0.6,0.0
6,4.353,9,False,False,0.9704,0.6667,0.0
7,4.941,7,False,False,0.9655,0.7143,0.0
8,5.235,6,False,False,0.9607,0.75,0.0
9,4.941,7,False,False,0.9559,0.7778,0.0
10,5.235,6,False,False,0.9511,0.8,0.0
11,13.235,6,True,True,0.9464,0.8182,0.0
12,6.412,2,False,False,0.9416,0.8333,0.0
13,4.353,9,False,False,0.9369,0.8462,0.0
14,-6.471,5,True,False,0.9322,0.7857,0.0
15,4.941,7,False,False,0.9276,0.8,0.0
16,12.941,7,True,True,0.9229,0.8125,0.0
17,5.235,6,False,False,0.9183,0.8235,0.0
18,-5.588,2,True,False,0.9137,0.7778,0.0
19,5.824,4,False,False,0.9092,0.7895,0.0
20,4.353,9,False,False,0.9046,0.8,0.0
21,13.529,5,True,True,0.9001,0.8095,0.0
22,13.824,4,True,True,0.8956,0.8182,0.0
23,6.412,2,False,False,0.8911,0.8261,0.0
24,14.412,2,True,True,0.8867,0.8333,0.0
25,5.235,6,False,False,0.8822,0.84,0.0
26,13.235,6,True,True,0.8778,0.8462,0.0
27,12.941,7,True,True,0.8734,0.8519,0.0
28,13.529,5,True,True,0.8691,0.8571,0.0
29,5.235,6,False,False,0.8647,0.8621,0.0
30,-5.588,2,True,False,0.8604,0.8333,0.0
31,5.824,4,False,False,0.8561,0.8387,0.0
32,4.941,7,False,False,0.8518,0.8438,7.320656
33,5.235,6,False,False,0.8475,0.8485,6.971519
34,4.647,8,False,False,0.8433,0.8529,6.559616
35,5.824,4,False,False,0.8391,0.8571,6.132387
36,4.353,9,False,False,0.8349,0.8611,5.026827
37,-5.588,2,True,False,0.8307,0.8378,5.294575
38,4.353,9,False,False,0.8266,0.8421,4.639152
39,5.824,4,False,False,0.8224,0.8462,4.875358
40,-6.176,4,True,False,0.8183,0.825,4.759488
41,5.235,6,False,False,0.8142,0.8293,4.418718
42,3.765,11,False,False,0.8102,0.8333,4.208795
43,5.824,4,False,False,0.8061,0.8372,4.36277
44,13.824,4,True,True,0.8021,0.8409,4.436861
45,5.529,5,False,False,0.7981,0.8444,3.960128
46,5.824,4,False,False,0.7941,0.8478,3.88999
47,5.529,5,False,False,0.7901,0.8511,4.192199
48,4.647,8,False,False,0.7862,0.8542,3.996883
49,4.647,8,False,False,0.7822,0.8571,4.120767
50,5.529,5,False,False,0.7783,0.86,3.822008
51,5.529,5,False,False,0.7744,0.8627,3.558539
52,4.353,9,False,False,0.7705,0.8654,2.728448
53,5.529,5,False,False,0.7667,0.8679,3.420121
54,5.529,5,False,False,0.7629,0.8704,3.273502
55,13.235,6,True,True,0.759,0.8727,4.015739
56,4.941,7,False,False,0.7553,0.875,3.995552
57,-5.882,3,True,False,0.7515,0.8596,2.753751
58,5.529,5,False,False,0.7477,0.8621,4.183687
59,4.647,8,False,False,0.744,0.8644,3.146912
60,12.941,7,True,True,0.7403,0.8667,3.922212
61,13.235,6,True,True,0.7366,0.8689,2.790109
62,6.118,3,False,False,0.7329,0.871,3.160406
63,5.529,5,False,False,0.7292,0.873,2.843674
64,4.353,9,False,False,0.7256,0.875,4.226794
65,6.412,2,False,False,0.7219,0.8769,3.046615
66,5.235,6,False,False,0.7183,0.8788,2.911455
67,5.529,5,False,False,0.7147,0.8806,3.170631
68,4.941,7,False,False,0.7112,0.8824,3.228822
69,5.824,4,False,False,0.7076,0.8841,2.073683
70,5.529,5,False,False,0.7041,0.8857,3.569742
71,5.824,4,False,False,0.7005,0.8873,2.51507
72,4.647,8,False,False,0.697,0.8889,3.197633
73,12.941,7,True,True,0.6936,0.8904,2.498543
74,5.235,6,False,False,0.6901,0.8919,2.223515
75,4.647,8,False,False,0.6866,0.8933,3.077855
76,5.235,6,False,False,0.6832,0.8947,2.244709
77,12.941,7,True,True,0.6798,0.8961,2.826862
78,4.647,8,False,False,0.6764,0.8974,2.40774
79,4.941,7,False,False,0.673,0.8987,2.866373
80,-5.882,3,True,False,0.6696,0.8875,2.67993
81,12.059,10,True,True,0.6663,0.8889,2.389206
82,4.941,7,False,False,0.663,0.8902,2.890485
83,4.353,9,False,False,0.6597,0.8916,2.367298
84,13.235,6,True,True,0.6564,0.8929,3.031441
85,5.235,6,False,False,0.6531,0.8941,2.372632
86,14.118,3,True,True,0.6498,0.8953,2.110464
87,6.118,3,False,False,0.6466,0.8966,2.590142
88,5.529,5,False,False,0.6433,0.8977,3.02989
89,4.647,8,False,False,0.6401,0.8989,2.092377
90,5.824,4,False,False,0.6369,0.9,2.477481
91,13.824,4,True,True,0.6337,0.9011,2.652434
92,14.118,3,True,True,0.6306,0.9022,2.590644
93,4.647,8,False,False,0.6274,0.9032,2.885287
94,13.235,6,True,True,0.6243,0.9043,2.350203
95,4.059,10,False,False,0.6211,0.9053,2.403641
96,13.235,6,True,True,0.618,0.9062,4.150318
97,4.941,7,False,False,0.6149,0.9072,2.989465
98,13.235,6,True,True,0.6119,0.9082,2.323814
99,4.941,7,False,False,0.6088,0.9091,2.479043
100,5.235,6,False,False,0.6058,0.91,2.474244
101,4.647,8,False,False,0.6027,0.9109,2.549292
102,5.235,6,False,False,0.5997,0.9118,2.364858
103,12.647,8,True,True,0.5967,0.9126,3.008542
104,4.059,10,False,False,0.5937,0.9135,2.668065
105,4.941,7,False,False,0.5908,0.9143,2.430186
106,12.647,8,True,True,0.5878,0.9151,3.068142
107,4.941,7,False,False,0.5849,0.9159,2.899289
108,5.235,6,False,False,0.582,0.9167,3.17805
109,4.647,8,False,False,0.579,0.9174,2.516361
110,4.941,7,False,False,0.5762,0.9182,3.028839
111,5.235,6,False,False,0.5733,0.9189,3.445657
112,6.118,3,False,False,0.5704,0.9196,3.25084
