episode,reward,tests_selected,bug_exists,bug_detected,epsilon,accuracy,loss
1,5.235,6,False,False,0.995,1.0,0.0
2,12.941,7,True,True,0.99,1.0,0.0
3,5.824,4,False,False,0.9851,1.0,0.0
4,13.824,4,True,True,0.9801,1.0,0.0
5,4.353,9,False,False,0.9752,1.0,0.0
6,13.824,4,True,True,0.9704,1.0,0.0
7,-5.882,3,True,False,0.9655,0.8571,0.0
8,6.706,1,False,False,0.9607,0.875,0.0
9,6.118,3,False,False,0.9559,0.8889,0.0
10,5.529,5,False,False,0.9511,0.9,0.0
11,5.824,4,False,False,0.9464,0.9091,0.0
12,6.412,2,False,False,0.9416,0.9167,0.0
13,-5.882,3,True,False,0.9369,0.8462,0.0
14,6.412,2,False,False,0.9322,0.8571,0.0
15,6.706,1,False,False,0.9276,0.8667,0.0
16,5.824,4,False,False,0.9229,0.875,0.0
17,6.706,1,False,False,0.9183,0.8824,0.0
18,4.941,7,False,False,0.9137,0.8889,0.0
19,6.118,3,False,False,0.9092,0.8947,0.0
20,-5.882,3,True,False,0.9046,0.85,0.0
21,6.412,2,False,False,0.9001,0.8571,0.0
22,5.529,5,False,False,0.8956,0.8636,0.0
23,5.824,4,False,False,0.8911,0.8696,0.0
24,5.529,5,False,False,0.8867,0.875,0.0
25,6.412,2,False,False,0.8822,0.88,0.0
26,5.235,6,False,False,0.8778,0.8846,0.0
27,6.412,2,False,False,0.8734,0.8889,0.0
28,4.647,8,False,False,0.8691,0.8929,0.0
29,6.706,1,False,False,0.8647,0.8966,0.0
30,5.529,5,False,False,0.8604,0.9,0.0
31,6.118,3,False,False,0.8561,0.9032,0.0
32,-5.294,1,True,False,0.8518,0.875,6.117051
33,6.118,3,False,False,0.8475,0.8788,5.838322
34,-5.294,1,True,False,0.8433,0.8529,5.7103
35,6.118,3,False,False,0.8391,0.8571,5.429341
36,14.118,3,True,True,0.8349,0.8611,5.526811
37,13.529,5,True,True,0.8307,0.8649,5.343844
38,13.235,6,True,True,0.8266,0.8684,5.467063
39,6.118,3,False,False,0.8224,0.8718,4.969539
40,6.706,1,False,False,0.8183,0.875,5.383627
41,5.529,5,False,False,0.8142,0.878,4.80847
42,14.118,3,True,True,0.8102,0.881,5.268245
43,6.118,3,False,False,0.8061,0.8837,4.318475
44,13.235,6,True,True,0.8021,0.8864,3.85982
45,5.824,4,False,False,0.7981,0.8889,4.697077
46,6.118,3,False,False,0.7941,0.8913,4.511171
47,6.118,3,False,False,0.7901,0.8936,4.14283
48,5.824,4,False,False,0.7862,0.8958,3.659896
49,6.706,1,False,False,0.7822,0.898,3.154003
50,5.235,6,False,False,0.7783,0.9,3.509646
51,-5.294,1,True,False,0.7744,0.8824,3.673331
52,-7.059,7,True,False,0.7705,0.8654,3.388909
53,5.824,4,False,False,0.7667,0.8679,4.259187
54,6.412,2,False,False,0.7629,0.8704,3.417941
55,-6.765,6,True,False,0.759,0.8545,4.350554
56,6.412,2,False,False,0.7553,0.8571,2.053187
57,5.824,4,False,False,0.7515,0.8596,3.867521
58,-7.059,7,True,False,0.7477,0.8448,4.696976
59,13.824,4,True,True,0.744,0.8475,3.51876
60,13.235,6,True,True,0.7403,0.85,3.419569
61,5.824,4,False,False,0.7366,0.8525,3.351559
62,5.235,6,False,False,0.7329,0.8548,3.649504
63,-5.294,1,True,False,0.7292,0.8413,3.784183
64,5.824,4,False,False,0.7256,0.8438,4.217941
65,5.529,5,False,False,0.7219,0.8462,3.696476
66,5.235,6,False,False,0.7183,0.8485,3.554354
67,13.824,4,True,True,0.7147,0.8507,3.43449
68,5.824,4,False,False,0.7112,0.8529,3.555205
69,6.412,2,False,False,0.7076,0.8551,3.389293
70,-6.471,5,True,False,0.7041,0.8429,3.714316
71,12.647,8,True,True,0.7005,0.8451,4.062456
72,13.235,6,True,True,0.697,0.8472,3.123828
73,5.235,6,False,False,0.6936,0.8493,3.935756
74,6.118,3,False,False,0.6901,0.8514,3.823882
75,5.529,5,False,False,0.6866,0.8533,3.976354
76,4.941,7,False,False,0.6832,0.8553,3.947756
77,6.706,1,False,False,0.6798,0.8571,2.40693
78,-5.588,2,True,False,0.6764,0.8462,3.632403
79,6.412,2,False,False,0.673,0.8481,3.938739
80,13.529,5,True,True,0.6696,0.85,3.490392
81,6.118,3,False,False,0.6663,0.8519,4.087166
82,6.412,2,False,False,0.663,0.8537,4.088822
83,-5.588,2,True,False,0.6597,0.8434,4.259746
84,12.941,7,True,True,0.6564,0.8452,3.478004
85,-5.294,1,True,False,0.6531,0.8353,3.377856
86,-5.588,2,True,False,0.6498,0.8256,2.136215
87,-5.882,3,True,False,0.6466,0.8161,3.42869
88,-6.471,5,True,False,0.6433,0.8068,3.271618
89,13.529,5,True,True,0.6401,0.809,3.308515
90,14.412,2,True,True,0.6369,0.8111,3.43972
91,6.412,2,False,False,0.6337,0.8132,3.212228
92,5.235,6,False,False,0.6306,0.8152,4.100858
