episode,reward,tests_selected,bug_exists,bug_detected,epsilon,accuracy,loss
1,6.412,2,False,False,0.995,1.0,0.0
2,5.824,4,False,False,0.99,1.0,0.0
3,6.412,2,False,False,0.9851,1.0,0.0
4,5.529,5,False,False,0.9801,1.0,0.0
5,-6.471,5,True,False,0.9752,0.8,0.0
6,-6.471,5,True,False,0.9704,0.6667,0.0
7,13.529,5,True,True,0.9655,0.7143,0.0
8,6.706,1,False,False,0.9607,0.75,0.0
9,5.529,5,False,False,0.9559,0.7778,0.0
10,6.118,3,False,False,0.9511,0.8,0.0
11,14.412,2,True,True,0.9464,0.8182,0.0
12,6.706,1,False,False,0.9416,0.8333,0.0
13,-5.588,2,True,False,0.9369,0.7692,0.0
14,13.529,5,True,True,0.9322,0.7857,0.0
15,5.824,4,False,False,0.9276,0.8,0.0
16,13.529,5,True,True,0.9229,0.8125,0.0
17,-5.588,2,True,False,0.9183,0.7647,0.0
18,5.824,4,False,False,0.9137,0.7778,0.0
19,14.118,3,True,True,0.9092,0.7895,0.0
20,5.235,6,False,False,0.9046,0.8,0.0
21,6.412,2,False,False,0.9001,0.8095,0.0
22,6.706,1,False,False,0.8956,0.8182,0.0
23,5.529,5,False,False,0.8911,0.8261,0.0
24,-6.765,6,True,False,0.8867,0.7917,0.0
25,13.529,5,True,True,0.8822,0.8,0.0
26,5.824,4,False,False,0.8778,0.8077,0.0
27,6.118,3,False,False,0.8734,0.8148,0.0
28,6.118,3,False,False,0.8691,0.8214,0.0
29,5.235,6,False,False,0.8647,0.8276,0.0
30,14.118,3,True,True,0.8604,0.8333,0.0
31,13.529,5,True,True,0.8561,0.8387,0.0
32,6.118,3,False,False,0.8518,0.8438,7.696258
33,6.412,2,False,False,0.8475,0.8485,7.539102
34,-5.882,3,True,False,0.8433,0.8235,7.415618
35,-5.588,2,True,False,0.8391,0.8,7.037584
36,6.412,2,False,False,0.8349,0.8056,6.829135
37,12.941,7,True,True,0.8307,0.8108,6.533673
38,5.529,5,False,False,0.8266,0.8158,6.505311
39,5.824,4,False,False,0.8224,0.8205,6.79989
40,-5.588,2,True,False,0.8183,0.8,6.442937
41,6.412,2,False,False,0.8142,0.8049,5.973876
42,6.412,2,False,False,0.8102,0.8095,6.506425
43,5.824,4,False,False,0.8061,0.814,6.44621
44,-5.588,2,True,False,0.8021,0.7955,6.066025
45,-5.588,2,True,False,0.7981,0.7778,5.117172
46,5.824,4,False,False,0.7941,0.7826,5.144041
47,-5.882,3,True,False,0.7901,0.766,4.635788
48,6.412,2,False,False,0.7862,0.7708,5.620305
49,5.824,4,False,False,0.7822,0.7755,4.748639
50,4.941,7,False,False,0.7783,0.78,4.599989
51,5.529,5,False,False,0.7744,0.7843,4.181446
52,5.529,5,False,False,0.7705,0.7885,4.299847
53,-5.882,3,True,False,0.7667,0.7736,4.343345
54,14.412,2,True,True,0.7629,0.7778,4.390184
55,-5.588,2,True,False,0.759,0.7636,4.911569
56,6.412,2,False,False,0.7553,0.7679,4.506242
57,13.529,5,True,True,0.7515,0.7719,4.675737
58,6.706,1,False,False,0.7477,0.7759,4.078055
59,6.412,2,False,False,0.744,0.7797,4.584504
60,14.118,3,True,True,0.7403,0.7833,4.144793
61,5.235,6,False,False,0.7366,0.7869,4.184573
62,5.235,6,False,False,0.7329,0.7903,3.645705
63,13.235,6,True,True,0.7292,0.7937,3.508573
64,5.235,6,False,False,0.7256,0.7969,4.113117
65,4.647,8,False,False,0.7219,0.8,4.635771
66,6.706,1,False,False,0.7183,0.803,3.926303
67,6.412,2,False,False,0.7147,0.806,4.426976
68,-5.882,3,True,False,0.7112,0.7941,3.493631
69,5.529,5,False,False,0.7076,0.7971,3.962052
70,4.941,7,False,False,0.7041,0.8,4.163213
71,-5.588,2,True,False,0.7005,0.7887,3.810684
72,6.118,3,False,False,0.697,0.7917,3.138731
73,5.529,5,False,False,0.6936,0.7945,2.996269
74,6.706,1,False,False,0.6901,0.7973,3.929224
75,5.824,4,False,False,0.6866,0.8,3.297333
76,13.529,5,True,True,0.6832,0.8026,3.786038
77,6.412,2,False,False,0.6798,0.8052,4.163056
78,6.412,2,False,False,0.6764,0.8077,3.527364
79,5.235,6,False,False,0.673,0.8101,3.769673
80,6.412,2,False,False,0.6696,0.8125,3.520684
81,4.941,7,False,False,0.6663,0.8148,3.375731
82,6.706,1,False,False,0.663,0.8171,3.178781
83,-6.471,5,True,False,0.6597,0.8072,2.722447
84,-5.588,2,True,False,0.6564,0.7976,3.91988
85,5.824,4,False,False,0.6531,0.8,3.146511
86,5.529,5,False,False,0.6498,0.8023,4.02836
87,6.118,3,False,False,0.6466,0.8046,3.607828
88,-5.588,2,True,False,0.6433,0.7955,3.008244
89,-5.882,3,True,False,0.6401,0.7865,2.608928
90,-6.176,4,True,False,0.6369,0.7778,3.286793
91,6.118,3,False,False,0.6337,0.7802,4.16804
92,-5.882,3,True,False,0.6306,0.7717,3.072535
93,5.529,5,False,False,0.6274,0.7742,3.362471
94,6.118,3,False,False,0.6243,0.7766,3.16506
95,-5.882,3,True,False,0.6211,0.7684,4.21573
96,14.412,2,True,True,0.618,0.7708,3.80247
97,6.706,1,False,False,0.6149,0.7732,3.301336
98,5.529,5,False,False,0.6119,0.7755,2.962441
99,12.353,9,True,True,0.6088,0.7778,3.857646
100,5.529,5,False,False,0.6058,0.78,3.430751
101,-6.765,6,True,False,0.6027,0.7723,2.786646
